county_fips,state_fips,2019_population
18011,18000,"67,843"
18013,18000,"15,092"
18015,18000,"20,257"
18017,18000,"37,689"
18019,18000,"118,302"
18021,18000,"26,225"
18023,18000,"32,399"
18025,18000,"10,577"
18027,18000,"33,351"
18029,18000,"49,458"
18031,18000,"26,559"
18033,18000,"43,475"
18035,18000,"114,135"
18037,18000,"42,736"
18039,18000,"206,341"
18041,18000,"23,102"
18043,18000,"78,522"
18045,18000,"16,346"
18047,18000,"22,758"
18049,18000,"19,974"
18051,18000,"33,659"
18053,18000,"65,769"
18055,18000,"31,922"
18057,18000,"338,011"
18059,18000,"78,168"
18061,18000,"40,515"
18063,18000,"170,311"
18065,18000,"47,972"
18067,18000,"82,544"
18069,18000,"36,520"
18071,18000,"44,231"
18073,18000,"33,562"
18075,18000,"20,436"
18077,18000,"32,308"
18079,18000,"27,735"
18081,18000,"158,167"
18083,18000,"36,594"
18085,18000,"79,456"
18087,18000,"39,614"
18089,18000,"485,493"
18091,18000,"109,888"
18093,18000,"45,370"
18095,18000,"129,569"
18097,18000,"964,582"
18099,18000,"46,258"
18101,18000,"10,255"
18103,18000,"35,516"
18105,18000,"148,431"
18107,18000,"38,338"
18109,18000,"70,489"
18111,18000,"13,984"
18113,18000,"47,744"
18115,18000,"5,875"
18117,18000,"19,646"
18119,18000,"20,799"
18121,18000,"16,937"
18123,18000,"19,169"
18125,18000,"12,389"
18127,18000,"170,389"
18129,18000,"25,427"
18131,18000,"12,353"
18133,18000,"37,576"
18135,18000,"24,665"
18137,18000,"28,324"
18139,18000,"16,581"
18141,18000,"271,826"
18143,18000,"23,873"
18145,18000,"44,729"
18147,18000,"20,277"
18149,18000,"22,995"
18151,18000,"34,594"
18153,18000,"20,669"
18155,18000,"10,751"
18157,18000,"195,732"
18159,18000,"15,148"
18161,18000,"7,054"
18163,18000,"181,451"
18165,18000,"15,498"
18167,18000,"107,038"
18169,18000,"30,996"
18171,18000,"8,265"
18173,18000,"62,998"
18175,18000,"28,036"
18177,18000,"65,884"
18179,18000,"28,296"
18181,18000,"24,102"
18183,18000,"33,964"
19001,19000,"7,152"
19003,19000,"3,602"
19005,19000,"13,687"
19007,19000,"12,426"
19009,19000,"5,496"
19011,19000,"25,645"
19013,19000,"131,228"
19015,19000,"26,234"
19017,19000,"25,062"
19019,19000,"21,175"
19021,19000,"19,620"
19023,19000,"14,439"
19025,19000,"9,668"
19027,19000,"20,165"
19029,19000,"12,836"
19031,19000,"18,627"
19033,19000,"42,450"
19035,19000,"11,235"
19037,19000,"11,933"
19039,19000,"9,395"
19041,19000,"16,016"
19043,19000,"17,549"
19045,19000,"46,429"
19047,19000,"16,820"
19049,19000,"93,453"
19051,19000,"9,000"
19053,19000,"7,870"
19055,19000,"17,011"
19057,19000,"38,967"
19059,19000,"17,258"
19061,19000,"97,311"
19063,19000,"9,208"
19065,19000,"19,650"
19067,19000,"15,642"
19069,19000,"10,070"
19071,19000,"6,960"
19073,19000,"8,888"
19075,19000,"12,232"
19077,19000,"10,689"
19079,19000,"14,773"
19081,19000,"10,630"
19083,19000,"16,846"
19085,19000,"14,049"
19087,19000,"19,954"
19089,19000,"9,158"
19091,19000,"9,558"
19093,19000,"6,860"
19095,19000,"16,184"
19097,19000,"19,439"
19099,19000,"37,185"
19101,19000,"18,295"
19103,19000,"151,140"
19105,19000,"20,681"
19107,19000,"10,246"
19109,19000,"14,813"
19111,19000,"33,657"
19113,19000,"226,706"
19115,19000,"11,035"
19117,19000,"8,600"
19119,19000,"11,755"
19121,19000,"16,338"
19123,19000,"22,095"
19125,19000,"33,253"
19127,19000,"39,369"
19129,19000,"15,109"
19131,19000,"10,586"
19133,19000,"8,615"
19135,19000,"7,707"
19137,19000,"9,917"
19139,19000,"42,664"
19141,19000,"13,753"
19143,19000,"5,958"
19145,19000,"15,107"
19147,19000,"8,886"
19149,19000,"25,177"
19151,19000,"6,619"
19153,19000,"490,161"
19155,19000,"93,206"
19157,19000,"18,504"
19159,19000,"4,894"
19161,19000,"9,721"
19163,19000,"172,943"
19165,19000,"11,454"
19167,19000,"34,855"
19169,19000,"97,117"
19171,19000,"16,854"
19173,19000,"6,121"
19175,19000,"12,241"
19177,19000,"7,044"
19179,19000,"34,969"
19181,19000,"51,466"
19183,19000,"21,965"
19185,19000,"6,441"
19187,19000,"35,904"
19189,19000,"10,354"
19191,19000,"19,991"
19193,19000,"103,107"
19195,19000,"7,381"
19197,19000,"12,562"
20001,20000,"12,369"
20003,20000,"7,858"
20005,20000,"16,073"
20007,20000,"4,427"
20009,20000,"25,779"
20011,20000,"14,534"
20013,20000,"9,564"
20015,20000,"66,911"
20017,20000,"2,648"
20019,20000,"3,250"
20021,20000,"19,939"
20023,20000,"2,657"
20025,20000,"1,994"
20027,20000,"8,002"
20029,20000,"8,786"
20031,20000,"8,179"
20033,20000,"1,700"
20035,20000,"34,908"
20037,20000,"38,818"
20039,20000,"2,827"
20041,20000,"18,466"
20043,20000,"7,600"
20045,20000,"122,259"
20047,20000,"2,798"
20049,20000,"2,530"
20051,20000,"28,553"
20053,20000,"6,102"
20055,20000,"36,467"
20057,20000,"33,619"
20059,20000,"25,544"
20061,20000,"31,670"
20063,20000,"2,636"
20065,20000,"2,482"
20067,20000,"7,150"
20069,20000,"5,988"
20071,20000,"1,232"
20073,20000,"5,982"
20075,20000,"2,539"
20077,20000,"5,436"
20079,20000,"34,429"
20081,20000,"3,968"
20083,20000,"1,794"
20085,20000,"13,171"
20087,20000,"19,043"
20089,20000,"2,879"
20091,20000,"602,401"
20093,20000,"3,838"
20095,20000,"7,152"
20097,20000,"2,475"
20099,20000,"19,618"
20101,20000,"1,535"
20103,20000,"81,758"
20105,20000,"2,962"
20107,20000,"9,703"
20109,20000,"2,794"
20111,20000,"33,195"
20113,20000,"28,542"
20115,20000,"11,884"
20117,20000,"9,707"
20119,20000,"4,033"
20121,20000,"34,237"
20123,20000,"5,979"
20125,20000,"31,829"
20127,20000,"5,620"
20129,20000,"2,587"
20131,20000,"10,231"
20133,20000,"16,007"
20135,20000,"2,750"
20137,20000,"5,361"
20139,20000,"15,949"
20141,20000,"3,421"
20143,20000,"5,704"
20145,20000,"6,414"
20147,20000,"5,234"
20149,20000,"24,383"
20151,20000,"9,164"
20153,20000,"2,530"
20155,20000,"61,998"
20157,20000,"4,636"
20159,20000,"9,537"
20161,20000,"74,232"
20163,20000,"4,920"
20165,20000,"3,036"
20167,20000,"6,856"
20169,20000,"54,224"
20171,20000,"4,823"
20173,20000,"516,042"
20175,20000,"21,428"
20177,20000,"176,875"
20179,20000,"2,521"
20181,20000,"5,917"
20183,20000,"3,583"
20185,20000,"4,156"
20187,20000,"2,006"
20189,20000,"5,485"
20191,20000,"22,836"
20193,20000,"7,777"
20195,20000,"2,803"
20197,20000,"6,931"
20199,20000,"1,518"
20201,20000,"5,406"
20203,20000,"2,119"
20205,20000,"8,525"
20207,20000,"3,138"
20209,20000,"165,429"
21001,21000,"19,202"
21003,21000,"21,315"
21005,21000,"22,747"
21007,21000,"7,888"
21009,21000,"44,249"
21011,21000,"12,500"
21013,21000,"26,032"
21015,21000,"133,581"
21017,21000,"19,788"
21019,21000,"46,718"
21021,21000,"30,060"
21023,21000,"8,303"
21025,21000,"12,630"
21027,21000,"20,477"
21029,21000,"81,676"
21031,21000,"12,879"
21033,21000,"12,747"
21035,21000,"39,001"
21037,21000,"93,584"
21039,21000,"4,760"
21041,21000,"10,631"
21043,21000,"26,797"
21045,21000,"16,159"
21047,21000,"70,461"
21049,21000,"36,263"
21051,21000,"19,901"
21053,21000,"10,218"
21055,21000,"8,806"
21057,21000,"6,614"
21059,21000,"101,511"
21061,21000,"12,150"
21063,21000,"7,517"
21065,21000,"14,106"
21067,21000,"323,152"
21069,21000,"14,581"
21071,21000,"35,589"
21073,21000,"50,991"
21075,21000,"5,969"
21077,21000,"8,869"
21079,21000,"17,666"
21081,21000,"25,069"
21083,21000,"37,266"
21085,21000,"26,427"
21087,21000,"10,941"
21089,21000,"35,098"
21091,21000,"8,722"
21093,21000,"110,958"
21095,21000,"26,010"
21097,21000,"18,886"
21099,21000,"19,035"
21101,21000,"45,210"
21103,21000,"16,126"
21105,21000,"4,380"
21107,21000,"44,686"
21109,21000,"13,329"
21111,21000,"766,757"
21113,21000,"54,115"
21115,21000,"22,188"
21117,21000,"166,998"
21119,21000,"14,806"
21121,21000,"31,145"
21123,21000,"14,398"
21125,21000,"60,813"
21127,21000,"15,317"
21129,21000,"7,403"
21131,21000,"9,877"
21133,21000,"21,553"
21135,21000,"13,275"
21137,21000,"24,549"
21139,21000,"9,194"
21141,21000,"27,102"
21143,21000,"8,210"
21145,21000,"65,418"
21147,21000,"17,231"
21149,21000,"9,207"
21151,21000,"92,987"
21153,21000,"12,161"
21155,21000,"19,273"
21157,21000,"31,100"
21159,21000,"11,195"
21161,21000,"17,070"
21163,21000,"28,572"
21165,21000,"6,489"
21167,21000,"21,933"
21169,21000,"10,071"
21171,21000,"10,650"
21173,21000,"28,157"
21175,21000,"13,309"
21177,21000,"30,622"
21179,21000,"46,233"
21181,21000,"7,269"
21183,21000,"23,994"
21185,21000,"66,799"
21187,21000,"10,901"
21189,21000,"4,415"
21191,21000,"14,590"
21193,21000,"25,758"
21195,21000,"57,876"
21197,21000,"12,359"
21199,21000,"64,979"
21201,21000,"2,108"
21203,21000,"16,695"
21205,21000,"24,460"
21207,21000,"17,923"
21209,21000,"57,004"
21211,21000,"49,024"
21213,21000,"18,572"
21215,21000,"19,351"
21217,21000,"25,769"
21219,21000,"12,294"
21221,21000,"14,651"
21223,21000,"8,471"
21225,21000,"14,381"
21227,21000,"132,896"
21229,21000,"12,095"
21231,21000,"20,333"
21233,21000,"12,942"
21235,21000,"36,264"
21237,21000,"7,157"
21239,21000,"26,734"
22001,22000,"62,045"
22003,22000,"25,627"
22005,22000,"126,604"
22007,22000,"21,891"
22009,22000,"40,144"
22011,22000,"37,497"
22013,22000,"13,241"
22015,22000,"127,039"
22017,22000,"240,204"
22019,22000,"203,436"
22021,22000,"9,918"
22023,22000,"6,973"
22025,22000,"9,494"
22027,22000,"15,670"
22029,22000,"19,259"
22031,22000,"27,463"
22033,22000,"440,059"
22035,22000,"6,861"
22037,22000,"19,135"
22039,22000,"33,395"
22041,22000,"20,015"
22043,22000,"22,389"
22045,22000,"69,830"
22047,22000,"32,511"
22049,22000,"15,744"
22051,22000,"432,493"
22053,22000,"31,368"
22055,22000,"244,390"
22057,22000,"97,614"
22059,22000,"14,892"
22061,22000,"46,742"
22063,22000,"140,789"
22065,22000,"10,951"
22067,22000,"24,874"
22069,22000,"38,158"
22071,22000,"390,144"
22073,22000,"153,279"
22075,22000,"23,197"
22077,22000,"21,730"
22079,22000,"129,648"
22081,22000,"8,442"
22083,22000,"20,122"
22085,22000,"23,884"
22087,22000,"47,244"
22089,22000,"53,100"
22091,22000,"10,132"
22093,22000,"21,096"
